Vivado Simulator 2020.1
Time resolution is 1 ps
Time =            448500000, Counter = 704, amp = 52, Data_out =  32282
Time =            449500000, Counter = 909, amp = 70, Data_out =  31808
Time =            450500000, Counter = 90, amp = 127, Data_out =  32975
Time =            451500000, Counter = 295, amp = 148, Data_out =  34181
Time =            452500000, Counter = 500, amp = 97, Data_out =  33752
Time =            453500000, Counter = 705, amp = 51, Data_out =  32280
Time =            454500000, Counter = 910, amp = 73, Data_out =  31814
Time =            455500000, Counter = 91, amp = 127, Data_out =  32975
Time =            456500000, Counter = 296, amp = 148, Data_out =  34178
Time =            457500000, Counter = 501, amp = 97, Data_out =  33739
Time =            458500000, Counter = 706, amp = 51, Data_out =  32261
Time =            459500000, Counter = 911, amp = 73, Data_out =  31811
Time =            460500000, Counter = 92, amp = 127, Data_out =  32990
Time =            461500000, Counter = 297, amp = 148, Data_out =  34187
