Time =            423500000, Counter = 699, amp = 52, Data_out =  31942
Time =            424500000, Counter = 904, amp = 70, Data_out =  28019
Time =            425500000, Counter = 85, amp = 127, Data_out =  36868
Time =            426500000, Counter = 290, amp = 148, Data_out =  46204
Time =            427500000, Counter = 495, amp = 100, Data_out =  43174
Time =            428500000, Counter = 700, amp = 52, Data_out =  31926
Time =            429500000, Counter = 905, amp = 70, Data_out =  28168
Time =            430500000, Counter = 86, amp = 127, Data_out =  37146
Time =            431500000, Counter = 291, amp = 148, Data_out =  46410
Time =            432500000, Counter = 496, amp = 100, Data_out =  43186
Time =            433500000, Counter = 701, amp = 52, Data_out =  31878
Time =            434500000, Counter = 906, amp = 70, Data_out =  28180
Time =            435500000, Counter = 87, amp = 127, Data_out =  37149
Time =            436500000, Counter = 292, amp = 148, Data_out =  46454
Time =            437500000, Counter = 497, amp = 100, Data_out =  43177
Time =            438500000, Counter = 702, amp = 52, Data_out =  31876
Time =            439500000, Counter = 907, amp = 70, Data_out =  28180
Time =            440500000, Counter = 88, amp = 127, Data_out =  37170
Time =            441500000, Counter = 293, amp = 148, Data_out =  46456
Time =            442500000, Counter = 498, amp = 100, Data_out =  43174
Time =            443500000, Counter = 703, amp = 52, Data_out =  31876
Time =            444500000, Counter = 908, amp = 70, Data_out =  28186
Time =            445500000, Counter = 89, amp = 127, Data_out =  37186
Time =            446500000, Counter = 294, amp = 148, Data_out =  46450
Time =            447500000, Counter = 499, amp = 100, Data_out =  43174
Time =            448500000, Counter = 704, amp = 52, Data_out =  31876
Time =            449500000, Counter = 909, amp = 70, Data_out =  28186
Time =            450500000, Counter = 90, amp = 127, Data_out =  37186
Time =            451500000, Counter = 295, amp = 148, Data_out =  46450
Time =            452500000, Counter = 500, amp = 97, Data_out =  43174
Time =            453500000, Counter = 705, amp = 51, Data_out =  31858
Time =            454500000, Counter = 910, amp = 73, Data_out =  28174
Time =            455500000, Counter = 91, amp = 127, Data_out =  37202
Time =            456500000, Counter = 296, amp = 148, Data_out =  46456
Time =            457500000, Counter = 501, amp = 97, Data_out =  43165
Time =            458500000, Counter = 706, amp = 51, Data_out =  31834
Time =            459500000, Counter = 911, amp = 73, Data_out =  28176
Time =            460500000, Counter = 92, amp = 127, Data_out =  37223
Time =            461500000, Counter = 297, amp = 148, Data_out =  46450
Time =            462500000, Counter = 502, amp = 97, Data_out =  43118
Time =            463500000, Counter = 707, amp = 51, Data_out =  31822
Time =            464500000, Counter = 912, amp = 73, Data_out =  28220
Time =            465500000, Counter = 93, amp = 129, Data_out =  37226
Time =            466500000, Counter = 298, amp = 147, Data_out =  46324
Time =            467500000, Counter = 503, amp = 97, Data_out =  42752
Time =            468500000, Counter = 708, amp = 51, Data_out =  31534
Time =            469500000, Counter = 913, amp = 73, Data_out =  28294
Time =            470500000, Counter = 94, amp = 129, Data_out =  37504
Time =            471500000, Counter = 299, amp = 147, Data_out =  46473
Time =            472500000, Counter = 504, amp = 97, Data_out =  42742
Time =            473500000, Counter = 709, amp = 51, Data_out =  31488
